Donor,year,Rio Marker,Cross-cutting,Bilateral ODA,Share
Belgium,2022,Adaptation,158.25,38.78,84.8%
Belgium,2022,Mitigation,158.25,25.99,79.3%
Belgium,2023,Adaptation,197.31,85.95,89.0%
Belgium,2023,Mitigation,197.31,24.03,69.5%
