"Year","climate funding as a % of bilateral allocable ODA","Funding for projects with climate change as a principal objective","Funding for projects with a significant climate change component","Principal","Significant","Not targeted and not screened"
"2018","16%",40.714996,226.717065,"2%","14%","84%"
"2019","22%",11.013718,395.344322,"1%","21%","78%"
"2020","13%",41.587654,170.735967,"2%","10%","87%"
"2021","14%",85.939251,155.607481,"5%","9%","86%"
"2022","22%",117.888158,185.575773,"8%","13%","78%"
