Donor,year,Rio Marker,Cross-cutting,Bilateral ODA,Share
United States,2022,Adaptation,1535.17,2540.08,90.8%
United States,2022,Mitigation,1535.17,415.27,43.4%
United States,2023,Adaptation,1758.18,3255.51,89.7%
United States,2023,Mitigation,1758.18,573.6,41.7%
