Donor,year,Rio Marker,Cross-cutting,Bilateral ODA,Share
Greece,2022,Adaptation,0.0,0.0,
Greece,2022,Mitigation,0.0,0.0,
Greece,2023,Adaptation,0.0,0.01,100.0%
Greece,2023,Mitigation,0.0,0.0,0.0%
