Donor,year,Rio Marker,Cross-cutting,Bilateral ODA,Share
Germany,2022,Adaptation,3778.71,3897.78,57.1%
Germany,2022,Mitigation,3778.71,5759.59,71.0%
Germany,2023,Adaptation,2464.85,2582.65,49.2%
Germany,2023,Mitigation,2464.85,5185.44,74.6%
