"Year","climate funding as a % of bilateral allocable ODA","Funding for projects with climate change as a principal objective","Funding for projects with a significant climate change component","Principal","Significant","Not targeted and not screened"
"2018","23%",15.106963,175.20893,"2%","21%","77%"
"2019","30%",26.489744,317.022072,"2%","28%","70%"
"2020","26%",65.362059,188.42453,"7%","20%","74%"
"2021","20%",78.61754,152.251409,"7%","13%","80%"
"2022","27%",91.034473,110.488068,"12%","15%","73%"
