Donor,year,Rio Marker,Cross-cutting,Bilateral ODA,Share
Czechia,2022,Adaptation,1.2,3.77,79.3%
Czechia,2022,Mitigation,1.2,1.29,39.8%
Czechia,2023,Adaptation,3.07,5.21,74.3%
Czechia,2023,Mitigation,3.07,2.86,53.2%
