Donor,year,Rio Marker,Cross-cutting,Bilateral ODA,Share
Finland,2022,Adaptation,101.99,23.35,92.1%
Finland,2022,Mitigation,101.99,10.77,82.8%
Finland,2023,Adaptation,45.48,58.92,59.8%
Finland,2023,Mitigation,45.48,70.25,66.3%
