Donor,year,Rio Marker,Cross-cutting,Bilateral ODA,Share
Hungary,2022,Adaptation,0.0,0.52,100.0%
Hungary,2022,Mitigation,0.0,0.0,0.0%
Hungary,2023,Adaptation,0.41,0.0,15.4%
Hungary,2023,Mitigation,0.41,0.0,15.4%
