Donor,Year,Climate Funding as % of bilateral allocable ODA,Funding for projects with climate change as a principal objective,Funding for projects with a significant climate change component,Principal,Significant,Not targeted and not screened
Estonia,2019,0.0,0.0,0.0,0.0,0.0,100.0
Estonia,2020,2.33,0.0,0.42,0.0,2.33,97.67
Estonia,2021,6.46,1.74,0.0,6.46,0.0,93.54
Estonia,2022,2.17,0.0,0.24,0.0,2.17,97.83
Estonia,2023,14.88,2.53,0.61,12.0,2.88,85.12
