year,Sector,Climate-related ODA to,Share,Donor
2022,Government & civil society,,,Latvia
2022,Financial services & business support,,,Latvia
2022,Water and sanitation,,,Latvia
2022,Environmental protection,,,Latvia
2023,Emergency Response,,,Latvia
2023,Environmental protection,,,Latvia
2023,Water and sanitation,,,Latvia
2023,"Agriculture (incl. forestry, fishing, rural development)",,,Latvia
