"Year","climate funding as a % of bilateral allocable ODA","Funding for projects with climate change as a principal objective","Funding for projects with a significant climate change component","Principal","Significant","Not targeted and not screened"
"2018","17%",82.679231,279.243249,"4%","13%","83%"
"2019","16%",71.176885,282.689147,"3%","13%","84%"
"2020","15%",95.43978,300.118721,"4%","12%","85%"
"2021","21%",80.515716,455.50869,"3%","18%","79%"
"2022","27%",101.817141,701.339178,"3%","23%","73%"
