Donor,year,Rio Marker,Cross-cutting,Bilateral ODA,Share
France,2022,Adaptation,3604.28,5.0,50.1%
France,2022,Mitigation,3604.28,0.15,50.1%
France,2023,Adaptation,2853.0,974.82,73.7%
France,2023,Mitigation,2853.0,1359.72,81.2%
