Donor,Year,Climate Funding as % of bilateral allocable ODA,Funding for projects with climate change as a principal objective,Funding for projects with a significant climate change component,Principal,Significant,Not targeted and not screened
Luxembourg,2019,6.28,11.15,16.66,2.52,3.77,93.71
Luxembourg,2020,1.21,1.25,3.03,0.35,0.86,98.79
Luxembourg,2021,7.5,12.39,15.88,3.29,4.22,92.49
Luxembourg,2022,16.26,6.5,60.18,1.59,14.68,83.73
Luxembourg,2023,10.82,8.18,39.0,1.88,8.95,89.17
