Donor,year,Rio Marker,Cross-cutting,Bilateral ODA,Share
Slovenia,2022,Adaptation,1.15,0.46,48.5%
Slovenia,2022,Mitigation,1.15,1.59,82.6%
Slovenia,2023,Adaptation,6.05,0.23,97.6%
Slovenia,2023,Mitigation,6.05,0.16,96.5%
