"Year","climate funding as a % of bilateral allocable ODA","Funding for projects with climate change as a principal objective","Funding for projects with a significant climate change component","Principal","Significant","Not targeted and not screened"
"2018","5%",1.567605,18.210224,"0%","5%","95%"
"2019","6%",3.024101,20.617342,"1%","5%","94%"
"2020","1%",0.973863,2.897398,"0%","1%","99%"
"2021","7%",3.131417,19.889266,"1%","6%","93%"
"2022","16%",1.993806,57.322554,"1%","16%","84%"
