Donor,Year,Climate Funding as % of bilateral allocable ODA,Funding for projects with climate change as a principal objective,Funding for projects with a significant climate change component,Principal,Significant,Not targeted and not screened
Slovenia,2019,27.24,0.4,2.84,3.35,23.89,72.75999999999999
Slovenia,2020,14.39,0.11,1.21,1.16,13.23,85.61
Slovenia,2021,6.78,0.35,1.51,1.28,5.5,93.22
Slovenia,2022,13.31,0.71,2.61,2.85,10.46,86.69
Slovenia,2023,20.69,3.57,2.86,11.5,9.19,79.31
