Donor,year,Rio Marker,Cross-cutting,Bilateral ODA,Share
Canada,2022,Adaptation,235.7,125.87,30.9%
Canada,2022,Mitigation,235.7,808.32,89.2%
Canada,2023,Adaptation,199.2,565.69,96.9%
Canada,2023,Mitigation,199.2,24.51,28.3%
