Donor,year,Rio Marker,Cross-cutting,Bilateral ODA,Share
Iceland,2022,Adaptation,8.33,6.34,75.3%
Iceland,2022,Mitigation,8.33,4.8,67.5%
Iceland,2023,Adaptation,17.8,9.75,93.5%
Iceland,2023,Mitigation,17.8,1.91,66.9%
