Year,Climate Funding as % of bilateral allocable ODA,Funding for projects with climate change as a principal objective,Funding for projects with a significant climate change component,Principal,Significant,Not targeted and not screened,donor
2019,18.08623776400993,39.710260901631734,49.98181156080022,8.007499443594696,10.078738320415235,81.91376223599008,Spain
2020,12.528478209427945,10.977694293353004,50.10759841430811,2.2515043744201555,10.276973835007789,87.47152179057206,Spain
2021,10.602433030109959,33.34486033004518,53.82596570480323,4.055676246618799,6.546756783491159,89.39756696989004,Spain
2022,23.165707690665634,64.18772656033923,176.1649202544483,6.186551845925875,16.97915584473976,76.83429230933436,Spain
2023,0.0,0.0,0.0,0.0,0.0,100.0,Spain
