Donor,Year,Climate Funding as % of bilateral allocable ODA,Funding for projects with climate change as a principal objective,Funding for projects with a significant climate change component,Principal,Significant,Not targeted and not screened
Latvia,2019,0.19,,,0.12,0.06,99.82
Latvia,2020,0.08,,,0.0,0.08,99.92
Latvia,2021,0.28,,,0.0,0.28,99.72
Latvia,2022,0.49,,,0.0,0.49,99.51
Latvia,2023,0.66,,,0.19,0.47,99.34
