"Year","climate funding as a % of bilateral allocable ODA","Funding for projects with climate change as a principal objective","Funding for projects with a significant climate change component","Principal","Significant","Not targeted and not screened"
"2018","16%",20.697177,51.38433,"5%","11%","84%"
"2019","24%",48.334394,62.243926,"11%","14%","76%"
"2020","19%",42.021482,45.580201,"9%","10%","81%"
"2021","19%",32.709971,63.008118,"6%","12%","81%"
"2022","24%",33.35322,110.802253,"6%","18%","76%"
