Donor,Year,Climate Funding as % of bilateral allocable ODA,Funding for projects with climate change as a principal objective,Funding for projects with a significant climate change component,Principal,Significant,Not targeted and not screened
Czechia,2019,11.42,3.27,7.83,3.36,8.06,88.58
Czechia,2020,10.91,1.37,9.27,1.4,9.51,89.09
Czechia,2021,10.64,1.44,9.7,1.38,9.26,89.36
Czechia,2022,6.31,1.06,6.1,0.93,5.37,93.7
Czechia,2023,14.92,5.04,7.7,5.91,9.02,85.07
