Donor,year,Rio Marker,Cross-cutting,Bilateral ODA,Share
Portugal,2022,Adaptation,1.07,1.38,58.6%
Portugal,2022,Mitigation,1.07,1.73,66.9%
Portugal,2023,Adaptation,3.79,3.72,67.2%
Portugal,2023,Mitigation,3.79,3.66,66.7%
