Donor,year,Rio Marker,Cross-cutting,Bilateral ODA,Share
Switzerland,2022,Adaptation,342.67,463.39,86.1%
Switzerland,2022,Mitigation,342.67,130.57,50.5%
Switzerland,2023,Adaptation,267.72,165.99,85.6%
Switzerland,2023,Mitigation,267.72,72.69,67.2%
