Donor,year,Rio Marker,Cross-cutting,Bilateral ODA,Share
New Zealand,2022,Adaptation,49.07,60.01,99.5%
New Zealand,2022,Mitigation,49.07,0.56,45.3%
New Zealand,2023,Adaptation,184.65,82.96,99.6%
New Zealand,2023,Mitigation,184.65,1.01,69.1%
