Donor,Year,Climate Funding as % of bilateral allocable ODA,Funding for projects with climate change as a principal objective,Funding for projects with a significant climate change component,Principal,Significant,Not targeted and not screened
United Kingdom,2019,22.25,595.69,1740.84,5.67,16.58,77.75
United Kingdom,2020,36.22,369.6,1846.97,6.04,30.18,63.78
United Kingdom,2021,32.5,483.45,677.0,13.54,18.96,67.5
United Kingdom,2022,37.51,953.93,892.28,19.38,18.13,62.49
United Kingdom,2023,10.01,0.48,551.07,0.01,10.0,89.99
