Donor,year,Rio Marker,Cross-cutting,Bilateral ODA,Share
Sweden,2022,Adaptation,278.19,397.97,88.0%
Sweden,2022,Mitigation,278.19,79.5,46.6%
Sweden,2023,Adaptation,201.61,294.05,87.3%
Sweden,2023,Mitigation,201.61,64.44,46.9%
