"Year","climate funding as a % of bilateral allocable ODA","Funding for projects with climate change as a principal objective","Funding for projects with a significant climate change component","Principal","Significant","Not targeted and not screened"
"2018","16%",65,128,"6%","11%","84%"
"2019","21%",57,196,"5%","16%","79%"
"2020","51%",182,416,"16%","35%","49%"
"2021","37%",310,149,"25%","12%","63%"
"2022","18%",142,257,"7%","12%","82%"
