Donor,year,Rio Marker,Cross-cutting,Bilateral ODA,Share
Slovak Republic,2022,Adaptation,0.19,0.42,29.4%
Slovak Republic,2022,Mitigation,0.19,1.48,79.9%
Slovak Republic,2023,Adaptation,1.3,0.77,79.5%
Slovak Republic,2023,Mitigation,1.3,0.53,70.5%
