Donor,year,Rio Marker,Cross-cutting,Bilateral ODA,Share
Austria,2022,Adaptation,56.01,20.5,32.9%
Austria,2022,Mitigation,56.01,156.13,91.2%
Austria,2023,Adaptation,45.86,80.9,84.0%
Austria,2023,Mitigation,45.86,24.2,46.4%
