Donor,year,Rio Marker,Cross-cutting,Bilateral ODA,Share
Australia,2022,Adaptation,402.63,577.15,97.0%
Australia,2022,Mitigation,402.63,30.29,42.9%
Australia,2023,Adaptation,597.68,466.95,93.7%
Australia,2023,Mitigation,597.68,71.73,58.9%
