"Year","climate funding as a % of bilateral allocable ODA","Funding for projects with climate change as a principal objective","Funding for projects with a significant climate change component","Principal","Significant","Not targeted and not screened"
"2018","16%",13.593482,31.573837,"5%","11%","84%"
"2019","27%",18.415296,68.651022,"6%","21%","73%"
"2020","17%",17.685569,67.16651,"4%","14%","83%"
"2021","29%",37.359836,100.122349,"8%","21%","71%"
"2022","13%",30.871433,45.257504,"5%","8%","87%"
