Donor,Year,Climate Funding as % of bilateral allocable ODA,Funding for projects with climate change as a principal objective,Funding for projects with a significant climate change component,Principal,Significant,Not targeted and not screened
Canada,2019,15.52,205.55,442.77,4.92,10.6,84.48
Canada,2020,17.86,436.56,125.0,13.89,3.98,82.13
Canada,2021,13.99,388.67,285.42,8.07,5.92,86.01
Canada,2022,19.62,1005.09,222.37,16.06,3.55,80.39
Canada,2023,17.1,567.63,259.89,11.73,5.37,82.9
