Donor,year,Rio Marker,Cross-cutting,Bilateral ODA,Share
Korea,2022,Adaptation,356.39,1264.55,74.6%
Korea,2022,Mitigation,356.39,520.23,40.3%
Korea,2023,Adaptation,1447.68,782.42,72.7%
Korea,2023,Mitigation,1447.68,837.57,74.5%
