"donor_name","Bilateral as funding direct to partner countries","Bilateral as earmarked funding through multilaterals","Multilateral as core contributions to multilateral organizations"
"Korea",0.607,0.201,0.192
"DAC average",0.526774193548387,0.148193548387097,0.324838709677419
