"","DT_region","MNCH_ODA"
"1","sub-Saharan Africa",375.4026
"2","Developing countries, unspecified",108.25915
"3","Asia",78.3208
"4","Latin America and the Caribbeans",31.04208
"5","MENA region",24.04199
"6","Europe",2.31079
"7","Asia, regional",1.08629
"8","Oceania",0.29922
"9","Africa, regional",0
"10",NA,0
