"","DonorName","MNCH_ODA"
"1","Global Alliance for Vaccines and Immunization",1480.82463
"2","International Bank for Reconstruction and Development",1336.568238096
"3","International Development Association",1199.391667472
"4","Global Fund",876.211363984
"5","Asian Development Bank",540.53367
"6","Inter-American Development Bank",163.91433
"7","World Health Organisation",146.140018976
"8","UNICEF",127.26801
"9","UNFPA",122.58144
"10","IMF (Concessional Trust Funds)",63.123794512
