"","Year","MNCH_ODA","MNCH_Percent_ODA","MNCH_Percent_GH"
"1",2017,352.27573,9.55282564010782,53.4355534385625
"2",2018,361.279576,8.94205468500556,51.7052688072259
"3",2019,309.6229588,8.29507928232523,50.4519737244226
"4",2020,281.02044192,6.25447500550843,41.7888891232952
"5",2021,332.90919608,6.7273137981902,20.414694895755
