"","DT_region","MNCH_ODA"
"1","Asia",61.64903
"2","sub-Saharan Africa",29.4057
"3","Latin America and the Caribbeans",26.32719
"4","Developing countries, unspecified",17.69718
"5","MENA region",9.55375
"6","Europe",0.82464
"7","Oceania",0.43738
"8","Africa, regional",0.02987
"9","Asia, regional",0.01151
"10",NA,0
