"","DT_region","MNCH_ODA"
"1","sub-Saharan Africa",2244.271773872
"2","Developing countries, unspecified",1292.4706496
"3","Asia",889.94407584
"4","MENA region",403.636558752
"5","Latin America and the Caribbeans",289.391299168
"6","Europe",136.768964464
"7","Africa, regional",113.823193296
"8","Oceania",92.494654848
"9","Asia, regional",52.387327536
