"","DT_region","MNCH_ODA"
"1","sub-Saharan Africa",85.80717
"2","Developing countries, unspecified",57.34402
"3","Asia",37.75912
"4","MENA region",18.99141
"5","Latin America and the Caribbeans",3.61843
"6","Europe",3.51583
"7","Asia, regional",1.99052
"8","Africa, regional",1.11187
"9","Oceania",0.05036
