"","DT_region","MNCH_ODA"
"1","sub-Saharan Africa",70.35575
"2","Africa, regional",31.34447
"3","Asia",16.01183
"4","Latin America and the Caribbeans",15.00608
"5","Asia, regional",14.44136
"6","MENA region",3.77716
"7","Europe",0.45929
"8","Developing countries, unspecified",0.45622
"9","Oceania",0.25347
