"","DT_region","MNCH_ODA"
"1","Developing countries, unspecified",75.57591
"2","sub-Saharan Africa",41.36773
"3","MENA region",6.90684
"4","Africa, regional",1.57491
"5","Asia",0.82664
"6","Latin America and the Caribbeans",0.11397
"7","Asia, regional",0
"8","Europe",0
"9","Oceania",0
"10",NA,0
