"","Year","Large sanitation","Basic sanitation","Emergency response","Others"
"1",2017,707.96,407.27,103,308.73
"2",2018,840.82,477.54,112.99,336.67
"3",2019,779.31,413.96,143.53,332.2
"4",2020,668.61,346.91,145.87,277.28
"5",2021,659.24,335,118.52,265.78
