"","PurposeName.x","Funding"
"1","Water supply - large systems",54.17
"2","Sanitation - large systems",52.32
"3","Water supply and sanitation - large systems",32.42
"4","Basic drinking water supply",26.09
"5","Basic drinking water supply and basic sanitation",9.82
"6","Basic sanitation",4.63
"7","Disaster Risk Reduction",3.76
"8","Water sector policy and administrative management",2.59
"9","Primary education",1.51
"10","Waste management/disposal",1.34
