"","PurposeName.x","Funding"
"1","Water supply and sanitation - large systems",31.78
"2","Relief co-ordination and support services",29.66
"3","Basic drinking water supply and basic sanitation",22.37
"4","Water sector policy and administrative management",12.49
"5","Water supply - large systems",7.81
"6","River basins development",7.41
"7","Basic drinking water supply",7.01
"8","Reproductive health care",6.14
"9","Food assistance",5.46
"10","Emergency food assistance",4.34
