"","PurposeName.x","Funding"
"1","Sanitation - large systems",68.83
"2","Water supply - large systems",57.07
"3","Water supply and sanitation - large systems",25.52
"4","Basic sanitation",15.94
"5","Basic drinking water supply and basic sanitation",3.43
"6","Waste management/disposal",3.02
"7","Basic drinking water supply",2.17
"8","Material relief assistance and services",1.72
"9","Primary education",0.28
"10","Medical services",0.2
