"","DonorType","Funding_2021","Share"
"1","DAC Donors",1378.54,41.2677220040234
"2","Non-DAC Donors",1798.54,53.8407653989846
"3","MDBs",23.18,0.69391225213143
"4","Multilateral Organizations",75.09,2.24788054411342
"5","Private Donors",65.13,1.9497198007472
