"","WB_IncomeGroup_Abbrev","Funding","Share"
"1","LICs",73.35,43.8407746100054
"2","LMICs",51.55,30.8110692726077
"3","UMICs",26.46,15.8149542764927
"4","Unallocated by Income",15.77,9.42561711792481
"5","HICs",0.18,0.107584722969338
