"","Year","% of Bilateral ODA","Bilateral ODA to Sanitation"
"1",2017,3.57158652357759,185.74
"2",2018,3.53995928948101,179.3
"3",2019,3.64725628040248,175.15
"4",2020,3.09314063051109,147.33
"5",2021,2.89620002492695,167.31
