"","Year","Large sanitation","Basic sanitation","Emergency response","Others"
"1",2017,0.27,16.23,26.44,26.38
"2",2018,0.39,13.36,27,20.98
"3",2019,0,7.03,35.82,21.93
"4",2020,0,3.96,39.15,15.36
"5",2021,1.27,3.64,35.82,25.34
