"","DonorName","2018","2021"
"1","Germany",258.18,226.95
"2","EU Institutions",185.39,202.34
"3","France",281.95,191.13
"4","Japan",226.9,178.99
"5","United States",179.3,167.31
"6","Canada",61.73,66.07
"7","United Kingdom",185.56,57.32
"8","Spain",67.88,49.41
"9","Sweden",68.48,42.66
"10","Australia",48.76,35.8
