"","Year","% of Bilateral ODA","Bilateral ODA to Sanitation"
"1",2017,9.79479315003469,214.6
"2",2018,11.9098858876513,226.9
"3",2019,7.58911916257995,140.36
"4",2020,6.5073162301252,135.55
"5",2021,8.41051231809489,178.99
