"","WB_IncomeGroup_Abbrev","Funding","Share"
"1","LMICs",88.55,46.3297232250301
"2","LICs",53.82,28.158844765343
"3","UMICs",31.52,16.4913932925234
"4","Unallocated by Income",17.24,9.02003871710354
"5","HICs",0,0
