"","Year","% of Bilateral ODA","Bilateral ODA to Sanitation"
"1",2017,7.69644088347876,161.86
"2",2018,8.45541495600505,185.56
"3",2019,7.32517395419898,176.44
"4",2020,5.95588756288401,117.68
"5",2021,3.84556036362417,57.32
