"","Year","% of Bilaterla ODA","Bilateral ODA to Sanitation"
"1",2017,12.310424436157,69.32
"2",2018,9.99854225044137,61.73
"3",2019,11.4583886088264,64.78
"4",2020,8.91066475662166,58.47
"5",2021,10.8553496319664,66.07
