"","Year","Large sanitation","Basic sanitation","Emergency response","Others"
"1",2017,165,17.81,0.43,9.94
"2",2018,257.64,13.32,0.58,10.41
"3",2019,164.21,40.81,0.37,19.75
"4",2020,226.3,39.38,0,22.75
"5",2021,138.91,40.54,0.04,11.64
