"","WB_IncomeGroup_Abbrev","Funding","Share"
"1","LMICs",148.78,83.1219621207889
"2","UMICs",19.77,11.0453097938432
"3","Unallocated by Income",6.07,3.39125090787195
"4","HICs",2.41,1.34644393541539
"5","LICs",1.96,1.09503324208056
