"","Year","Large sanitation","Basic sanitation","Emergency response","Others"
"1",2017,13.05,91.71,7.28,49.82
"2",2018,14.85,92.7,24.71,53.3
"3",2019,9.76,81.03,45.53,40.12
"4",2020,5.19,36.7,37.39,38.4
"5",2021,3.38,27.17,12.01,14.76
