"","WB_IncomeGroup_Abbrev","Funding","Share"
"1","LMICs",86.48,38.1053095395462
"2","UMICs",69.81,30.7600793126239
"3","LICs",45.63,20.1057501652346
"4","Unallocated by Income",25.03,11.0288609825953
"5","HICs",0,0
