"","WB_IncomeGroup_Abbrev","Funding_2021","Share"
"1","LMICs",570.55,41.3879901925225
"2","LICs",328.94,23.8614766347005
"3","UMICs",251.93,18.2751316610327
"4","Unallocated by Income",216.04,15.6716526179871
"5","HICs",11.08,0.803748893757163
