"Year","ODA for Development Priorities","Contributions to EUI","In-donor Refugee Costs"
"2018",9918.690506,2805.598822,847.362129
"2019",9029.460961,2825.096677,1330.932234
"2020",12554.801512,2996.786543,1286.943418
"2021",12482.19,3083.24,1156.48
"2022",14173.280032,3436.665203,1683.25988
