"Year","ODA for Development Priorities","Contributions to EUI","In-donor Refugee Costs"
"2018",4723.362215,0,577.976637
"2019",4678.13125,0,548.528908
"2020",4902.81985,0,729.373197
"2021",5794.09,0,463.6
"2022",8010.073089,0,885.70876
